,NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,SerialNumber,HasSafetyRec,Mode,ReportType,OriginalPublishedDate,DocketOriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,Findings,EventID,Latitude,Longitude ,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,EngineType,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,BroadPhaseofFlight,ReportStatus,RepGenFlag,MostRecentReportType,DocketUrl,ReportUrl,UTC_YEAR,count,Make_final,UTC_MTH,UTC_DAY,UTC_HOUR,UTC_WEEKDAY
0,DCA12WA032,ACC,82810.0,2012-01-31T21:00:00Z,Tel Aviv,,Israel,,4X-ELF,,False,Aviation,,2020-11-03T05:00:00Z,,,0.0,0.0,0.0,,,,,,BOEING,747,,,,false,,,SCHD,,NUSC,Substantial,,EL AL ISRAEL AIRLINES LTD,,,,Final,,,2012,,Boeing,1,31,21,Tuesday
39,DCA12WA029,INC,82739.0,2012-01-17T18:30:00Z,London,,United Kingdom,,HL7601,,False,Aviation,,,,,0.0,0.0,0.0,,,,,,BOEING,747,AIR,,,false,,,SCHD,,NUSC,,,Korean Air,Enroute,,,,,,2012,,Boeing,1,17,18,Tuesday
41,ERA12LA147,ACC,82696.0,2012-01-16T09:00:00Z,Huntington,West Virginia,United States,,N839EX,226,False,Aviation,DirectorBrief,2013-09-05T04:00:00Z,2013-07-22T13:19:00Z,,0.0,0.0,0.0,"The inadequate communication among ground crew personnel, which resulted in the airplane’s collision with a deice truck.","Environmental issues - Operating environment - Communication system - Visual communication - Contributed to outcome, Personnel issues - Action/decision - Action - Incorrect action performance - Ground crew",,38.366943,-82.558609,BOEING,DHC-8-102,AIR,HTS,Tri-State Airport,false,2,TP,SCHD,,121,Substantial,VMC,Piedmont Airlines Incorporated,Taxi,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=82696,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82696/pdf,2012,,Boeing,1,16,9,Monday
48,DCA12WA027,INC,82723.0,2012-01-14T05:00:00Z,Rio de Janeiro,,Brazil,,N790AN,,False,Aviation,,,,,0.0,0.0,0.0,,,,,,BOEING,777,AIR,,,false,,,SCHD,,121,,,AMERICAN AIRLINES INC,Taxi,,,,,,2012,,Boeing,1,14,5,Saturday
55,DCA12WA025,INC,82693.0,2012-01-09T05:00:00Z,Fort Nelson,,Canada,,C-GDEJ,32427,False,Aviation,,,,,0.0,0.0,0.0,,,,,,BOEING,737,AIR,,,false,,,SCHD,,UNK,Minor,,Enerjet,Landing,,,,,,2012,,Boeing,1,9,5,Monday
61,DCA12WA103,INC,84200.0,2012-01-07T09:10:00Z,Stockholm,,Sweden,,TC-SNM,,False,Aviation,,2020-11-03T05:00:00Z,,,0.0,0.0,0.0,,,,,,BOEING,737-800,AIR,,,false,,,NSCH,,UNK,Minor,,SunExpress,Taxi,,,Final,,,2012,,Boeing,1,7,9,Saturday
101,CEN12IA123,INC,82620.0,2011-12-22T16:37:00Z,Denver,Colorado,United States,,N469WN,33859,False,Aviation,DirectorBrief,2012-06-28T04:00:00Z,2012-05-21T17:44:00Z,,0.0,0.0,0.0,"The snowplow operator’s incapacitation due to fatigue, which resulted in the snowplow contacting a parked airplane. Contributing to the incident was the company’s lack of a policy regarding employee fatigue.","Organizational issues - Support/oversight/monitoring - Oversight - Oversight of personnel - Other institution/organization, Personnel issues - Physical - Alertness/Fatigue - (general) - Other, Personnel issues - Physical - Impairment/incapacitation - (general) - Other",,39.750244,-104.999649,BOEING,737-7H4,AIR,DEN,Denver International Airport,false,2,TF,SCHD,,121,Minor,IMC,SOUTHWEST AIRLINES CO,Pushback/Tow,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=82620,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82620/pdf,2011,,Boeing,12,22,16,Thursday
105,DCA12WA022,ACC,82557.0,2011-12-20T19:13:00Z,Yogyakarta,,Indonesia,,PK-CKM,26281,False,Aviation,,,,,0.0,0.0,0.0,,,,,,Boeing,737,AIR,WIII,Yogyakarta,false,2,TF,SCHD,,NUSC,Substantial,,,Landing,,,,,,2011,,Boeing,12,20,19,Tuesday
140,DCA12CA021,ACC,82515.0,2011-12-08T21:15:00Z,Atlanta,Georgia,United States,,"N583NW, N303DQ","32983, 29688",False,Aviation,DirectorBrief,2019-08-23T04:00:00Z,2019-08-26T13:42:00Z,,0.0,0.0,0.0,the failure of the captain of N303DQ to maintain a safe clearance from N583NW that was stopped on the taxiway.,"Personnel issues - Psychological - Perception/orientation/illusion - Visual illusion/disorientation - Pilot of other aircraft, Personnel issues - Action/decision - Action - Incorrect action performance - Pilot of other aircraft",,33.631942,-84.433052,"BOEING, BOEING","757-351, 737-732","AIR, AIR",ATL,Hartsfield - Jackson Atlanta I,"false, false","2, 2","TJ, TF","SCHD, SCHD",,"121, 121","Substantial, Minor",VMC,"DELTA AIR LINES INC, DELTA AIR LINES INC",Standing,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=82515,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/82515/pdf,2011,,Boeing,12,8,21,Thursday
152,DCA12WA018,INC,82473.0,2011-12-04T09:03:00Z,Seoul,,Republic Of Korea,,HL-7796,,False,Aviation,,,,,0.0,0.0,0.0,,,,,,BOEING,737,AIR,,,false,,,SCHD,,NUSC,Minor,,Jeju Air,Takeoff,,,,,,2011,,Boeing,12,4,9,Sunday
