Year,Country,Nationality,Quarter,Duration,Mode,Package,Gender,Age Group,Purpose,Visits (000),Nights (000),Spend (£m),Sample
2021,Other areas / unknown,Other areas / unknown,Apr-Jun,Not Known,Sea,Independent,Unknown,Not Known,Holiday,0,0,1.624882,1
2021,Other areas / unknown,Other areas / unknown,Apr-Jun,Not Known,Air,Independent,Unknown,Not Known,Holiday,0,0,5.307542,1
2021,Other Africa,Other Africa,Apr-Jun,Not Known,Air,Independent,Female,25-34,Transit,0,0,0,1
2021,Other Africa,Other Africa,Apr-Jun,15+ nights,Air,Non-Independent,Female,35-44,VFR,0.062898,1.195062,0.121833426,1
2021,Other Africa,Other Africa,Apr-Jun,15+ nights,Air,Independent,Female,Not Known,Business,0.118041,2.124738,0.237852615,1
2021,Other Africa,Other Africa,Apr-Jun,15+ nights,Air,Independent,Female,65+,VFR,0.18571,16.414026,0.192682438,3
2021,Other Africa,Other Africa,Apr-Jun,15+ nights,Air,Independent,Female,55-64,VFR,0.03216,0.67536,0.0969624,1
2021,Other Africa,Other Africa,Apr-Jun,15+ nights,Air,Independent,Female,45-54,VFR,0.125272,10.300112,0.248804848,3
2021,Other Africa,Other Africa,Apr-Jun,15+ nights,Air,Independent,Female,35-44,VFR,0.080922,13.760712,0.13037583,2
2021,Other Africa,Other Africa,Apr-Jun,15+ nights,Air,Independent,Female,25-34,Misc.,0.088096,2.466688,0.13346544,1
2021,Other Africa,Other Africa,Apr-Jun,15+ nights,Air,Independent,Female,16-24,VFR,0.03216,0.6432,0.0648024,1
2021,Other Africa,Other Africa,Apr-Jun,15+ nights,Air,Independent,Male,65+,VFR,0.095058,20.330274,0.00785787,2
2021,Other Africa,Other Africa,Apr-Jun,15+ nights,Air,Independent,Male,45-54,VFR,0.07796,2.7286,0.15732328,1
2021,Other Africa,Other Africa,Apr-Jun,15+ nights,Air,Independent,Male,35-44,Study,0.079108,7.040612,5.370088364,1
2021,Other Africa,Other Africa,Apr-Jun,15+ nights,Air,Independent,Male,35-44,VFR,0.03216,0.70752,0.0165624,1
2021,Other Africa,Other Africa,Apr-Jun,15+ nights,Air,Independent,Male,16-24,Study,0.16859,25.988791,0.69065285,2
2021,Other Africa,Other Africa,Apr-Jun,8-14 nights,Air,Independent,Female,25-34,VFR,0.03216,0.45024,0.0020904,1
2021,Other Africa,Pakistan,Apr-Jun,15+ nights,Air,Independent,Female,25-34,Misc.,0.050224,1.657392,0.18005304,1
2021,Other Africa,Philippines,Apr-Jun,Not Known,Air,Independent,Male,25-34,Transit,0,0,0.00082293,1
2021,Other Africa,Hungary,Apr-Jun,15+ nights,Air,Independent,Male,35-44,VFR,0.071578,1.503138,0.05117827,1
2021,Other Africa,Romania,Apr-Jun,Not Known,Air,Independent,Male,0-15,Transit,0,0,0.00045586,1
2021,Other Africa,Portugal,Apr-Jun,15+ nights,Air,Independent,Male,45-54,Holiday,0.083897,3.104189,0.001258455,1
2021,Other Africa,Netherlands,Apr-Jun,15+ nights,Air,Independent,Female,65+,VFR,0.048762,12.1905,0.09825543,1
2021,Other Africa,Germany,Apr-Jun,Not Known,Air,Independent,Female,16-24,Transit,0,0,0,1
2021,Other Africa,Germany,Apr-Jun,15+ nights,Air,Independent,Male,35-44,Business,0.038258,0.76516,0.139909506,1
2021,Other Africa,Germany,Apr-Jun,15+ nights,Air,Independent,Male,25-34,VFR,0.043457,8.734857,0.083220155,1
2021,Other Africa,France,Apr-Jun,15+ nights,Air,Independent,Female,16-24,VFR,0.071578,1.07367,0.28738567,1
2021,Other Africa,UK,Apr-Jun,15+ nights,Air,Independent,Female,55-64,Misc.,0.03216,2.50848,0.0109344,1
2021,Other Africa,UK,Apr-Jun,15+ nights,Air,Independent,Male,55-64,VFR,0.062898,2.012736,0.03239247,1
2021,Other Africa,UK,Apr-Jun,15+ nights,Air,Independent,Male,25-34,VFR,0.062898,1.320858,0.152087364,1
2021,Other Africa,UK,Apr-Jun,8-14 nights,Air,Non-Independent,Male,45-54,Business,0.182354,1.82354,0.349390264,1
2021,Other Africa,UK,Apr-Jun,8-14 nights,Air,Independent,Male,35-44,VFR,0.03216,0.35376,0.1291224,1
2021,Other Africa,UK,Apr-Jun,1-3 nights,Air,Independent,Male,25-34,VFR,0.071578,0.214734,0.07265167,1
2021,Kenya,Kenya,Apr-Jun,15+ nights,Air,Independent,Female,55-64,VFR,0.105348,18.857292,0.00158022,1
2021,Kenya,Kenya,Apr-Jun,15+ nights,Air,Independent,Male,45-54,VFR,0.088096,9.073888,0.2400616,1
2021,Kenya,Kenya,Apr-Jun,15+ nights,Air,Independent,Male,16-24,Study,0.142006,15.504574,0.66184169,2
2021,Kenya,Finland,Apr-Jun,Not Known,Air,Independent,Male,55-64,Transit,0,0,0.0022285,1
