Period,"Overseas Residents
 Spending in UK","Seasonally Adjusted
 Overseas Residents
 Spending in UK","UK Residents
 Spending Abroad","Seasonally Adjusted
 UK Residents
 Spending Abroad",Balance [Note 1],"Seasonally Adjusted
 Balance [Note 1]"
2019 January,"1,646","2,140","3,994","5,590","-2,350","-3,450"
2019 February,"1,318","2,100","3,356","4,750","-2,040","-2,650"
2019 March,"1,840","2,350","4,106","5,330","-2,270","-2,980"
2019 April,"1,824","2,070","5,018","5,290","-3,190","-3,220"
2019 May,"2,347","2,290","5,011","5,150","-2,660","-2,860"
2019 June,"2,725","2,430","6,128","5,240","-3,400","-2,810"
2019 July,"3,090","2,310","5,950","5,050","-2,860","-2,740"
2019 August,"3,510","2,360","8,687","5,210","-5,180","-2,850"
2019 September,"2,593","2,320","7,235","5,270","-4,640","-2,960"
2019 October,"2,645","2,560","5,827","5,230","-3,180","-2,660"
2019 November,"2,201","2,460","3,906","5,200","-1,700","-2,740"
2019 December,"2,708","2,980","3,108","4,990",-400,"-2,010"
2020 January,"2,026","2,620","3,340","4,640","-1,310","-2,020"
2020 February,"1,538","2,330","3,454","4,690","-1,920","-2,360"
2020 March,780,"1,020","2,421","3,200","-1,640","-2,180"
2020 April,82,Not Available,151,Not Available,-70,Not Available
2020 May,75,Not Available,139,Not Available,-60,Not Available
2020 June,61,Not Available,113,Not Available,-50,Not Available
2020 July,69,Not Available,"1,361",Not Available,"-1,290",Not Available
2020 August,519,Not Available,846,Not Available,-330,Not Available
2020 September,448,Not Available,734,Not Available,-290,Not Available
2020 October,270,Not Available,530,Not Available,-260,Not Available
2020 November,156,Not Available,309,Not Available,-150,Not Available
2020 December,185,Not Available,369,Not Available,-180,Not Available
2021 January,89,Not Available,145,Not Available,-60,Not Available
2021 February,95,Not Available,317,Not Available,-220,Not Available
2021 March,103,Not Available,495,Not Available,-390,Not Available
2021 April,122,Not Available,360,Not Available,-240,Not Available
2021 May,189,Not Available,399,Not Available,-210,Not Available
2021 June,234,Not Available,544,Not Available,-310,Not Available
2021 July,433,Not Available,"1,266",Not Available,-830,Not Available
2021 August,626,Not Available,"2,444",Not Available,"-1,820",Not Available
2021 September,716,Not Available,"2,869",Not Available,"-2,150",Not Available
2021 October,867,Not Available,"2,361",Not Available,"-1,490",Not Available
2021 November,"1,186",Not Available,"2,057",Not Available,-870,Not Available
2021 December,985,Not Available,"2,289",Not Available,"-1,300",Not Available
2022 January,702,Not Available,"2,170",Not Available,"-1,470",Not Available
2022 February,787,Not Available,"2,421",Not Available,"-1,630",Not Available
2022 March,"1,363",Not Available,"3,090",Not Available,"-1,730",Not Available
2022 April,"1,863",Not Available,"4,627",Not Available,"-2,760",Not Available
2022 May,"2,229",Not Available,"5,009",Not Available,"-2,780",Not Available
2022 June,"2,755",Not Available,"6,195",Not Available,"-3,440",Not Available
2022 July,"3,257",Not Available,"6,366",Not Available,"-3,110",Not Available
2022 August,"3,174",Not Available,"8,400",Not Available,"-5,230",Not Available
2022 September,"2,635",Not Available,"7,537",Not Available,"-4,900",Not Available
2022 October,"2,905",Not Available,"5,876",Not Available,"-2,970",Not Available
2022 November,"2,258",Not Available,"3,418",Not Available,"-1,160",Not Available
2022 December,"2,570",Not Available,"3,426",Not Available,-860,Not Available
2023 January,"2,106",Not Available,"4,458",Not Available,"-2,350",Not Available
2023 February,"1,387",Not Available,"3,931",Not Available,"-2,540",Not Available
2023 March,"2,129",Not Available,"4,314",Not Available,"-2,190",Not Available
2023 April,"2,329",Not Available,"5,699",Not Available,"-3,370",Not Available
2023 May,"2,654",Not Available,"6,136",Not Available,"-3,480",Not Available
2023 June,"2,930",Not Available,"7,523",Not Available,"-4,590",Not Available
2023 July,"3,650",Not Available,"7,560",Not Available,"-3,910",Not Available
2023 August,"3,622",Not Available,"8,735",Not Available,"-5,110",Not Available
2023 September,"2,841",Not Available,"8,161",Not Available,"-5,320",Not Available
2023 October,"3,095",Not Available,"7,245",Not Available,"-4,150",Not Available
2023 November,"2,109",Not Available,"4,476",Not Available,"-2,370",Not Available
2023 December,"2,224",Not Available,"4,199",Not Available,"-1,970",Not Available
